Source,Category ID,Name,OVOKO ID,OVOKO Name,Level
BaseLinker,1730928,Motoryzacja/Opony i felgi/Felgi/Do samochodów/Aluminiowe,487,Felgi aluminiowe,2
BaseLinker,1730950,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Osłony przeciwsłoneczne,942,Osłona przeciwsłoneczna,3
BaseLinker,1730959,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Boczki bagażnika,917,Boczek / Tapicerka / bagażnika,3
BaseLinker,1730963,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Wykładzina,910,Wykładzina bagażnika,3
BaseLinker,1730966,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Stacyjki i kluczyki/Stacyjki",1184,Stacyjka,3
BaseLinker,1730967,Motoryzacja/Części samochodowe/Części karoserii/Szyby/Listwy,624,Części nadwozia i karoserii,1
BaseLinker,1730968,Motoryzacja/Części samochodowe/Układ paliwowy/Pompy wtryskowe,316,Pompa wtryskowa wysokiego ciśnienia,3
BaseLinker,1730969,Motoryzacja/Części samochodowe/Silniki i osprzęt/Recyrkulacja spalin EGR/Chłodnice spalin,1175,Chłodnica spalin EGR,3
BaseLinker,1730970,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Półki tylne,949,Półka tylna bagażnika,3
BaseLinker,1730971,Motoryzacja/Części samochodowe/Silniki i osprzęt/Smarowanie silnika/Czujniki poziomu oleju,1466,Czujnik poziomu oleju,3
BaseLinker,1730972,Motoryzacja/Części samochodowe/Układ napędowy/Skrzynie biegów/Kompletne skrzynie,416,Układ napędowy,1
BaseLinker,1730973,Motoryzacja/Części samochodowe/Części karoserii/Progi/Progi,1210,Próg,3
BaseLinker,1730974,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Boczki drzwi,806,Wyposażenie wnętrza samochodu,1
BaseLinker,1730975,Motoryzacja/Części samochodowe/Części karoserii/Dachy/Pozostałe,624,Części nadwozia i karoserii,1
BaseLinker,1730976,Motoryzacja/Części samochodowe/Układ kierowniczy/Czujniki kąta skrętu,416,Układ napędowy,1
BaseLinker,1730977,Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Zbiorniki płynu do spryskiwaczy,130,Zbiornik płynu do spryskiwaczy szyby przedniej / czołowej,3
BaseLinker,1730978,"Motoryzacja/Części samochodowe/Układ napędowy/Półosie, przeguby, wały/Półosie",416,Układ napędowy,1
BaseLinker,1730979,Motoryzacja/Części samochodowe/Układ paliwowy/Przewody wtryskowe,319,Przewód paliwowy wtryskiwacza,3
